room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6466227,1520,33774524,Entire home/apt,,Santa Barbara,,Eastside,17,5.0,4,2.0,,400.0,,Funk Zone Santa Barbara,2017-07-23 09:57:42.474979,34.424399,-119.685141,0101000020E61000008509A359D9EB5DC041BAD8B452364140
19038962,1520,17284858,Entire home/apt,,Santa Barbara,,Riviera,0,0.0,4,1.0,,450.0,,Gorgeous Oceanview Riviera Cape Cod 1 month min,2017-07-23 09:57:42.473019,34.43615,-119.706482,0101000020E61000009C4D470037ED5DC0401361C3D3374140
17036494,1520,111980579,Entire home/apt,,Santa Barbara,,Downtown,0,0.0,4,2.0,,439.0,,Mountain-View Penthouse Suite,2017-07-23 09:57:42.465229,34.419882,-119.69853,0101000020E610000098512CB7B4EC5DC0EC1681B1BE354140
3717905,1520,18982878,Entire home/apt,,Santa Barbara,,Upper State,43,5.0,6,3.0,,359.0,,The Midtown Garden Getaway,2017-07-23 09:57:42.450876,34.440099,-119.739372,0101000020E610000000E5EFDE51EF5DC04B00FE2955384140
11693297,1520,32530745,Entire home/apt,,Santa Barbara,,Downtown,0,0.0,6,2.0,,395.0,,PARK PLACE BEST LOCATION DOWNTOWN SANTA BARBARA,2017-07-23 09:57:42.439831,34.431004,-119.705696,0101000020E6100000C13A8E1F2AED5DC0FC389A232B374140
9131840,1520,47562593,Entire home/apt,,Santa Barbara,,Downtown,92,5.0,10,3.0,,380.0,,Newly Remodeled Downtown Victorian,2017-07-23 09:57:42.434680,34.417678,-119.698157,0101000020E61000004D9EB29AAEEC5DC01D21037976354140
676174,1520,3406715,Entire home/apt,,Santa Barbara,,Riviera,55,5.0,4,2.0,,350.0,,Gorgeous Riviera Home w Ocean Views,2017-07-23 09:57:40.877404,34.437821,-119.682048,0101000020E61000005793A7ACA6EB5DC04240BE840A384140
19954008,1520,26024315,Entire home/apt,,Santa Barbara,,Downtown,0,0.0,6,2.0,,350.0,,La Petite Maison Blanche,2017-07-23 09:57:40.875487,34.418872,-119.693931,0101000020E61000008FAB915D69EC5DC0E59A02999D354140
6646109,1520,29058271,Entire home/apt,,Santa Barbara,,Upper State,3,5.0,8,3.0,,425.0,,Beautiful Home with Mountain Views,2017-07-23 09:57:40.873564,34.453549,-119.753198,0101000020E6100000685A626534F05DC01711C5E40D3A4140
18412140,1520,1399169,Entire home/apt,,Santa Barbara,,Downtown,2,0.0,6,3.0,,349.0,,Downtown - 1/2 block to State Street!,2017-07-23 09:57:40.871437,34.427437,-119.713246,0101000020E61000002E008DD2A5ED5DC0D80C7041B6364140
695831,1520,3562309,Entire home/apt,,Santa Barbara,,Riviera,81,5.0,6,3.0,,330.0,,Home away from home,2017-07-23 09:57:40.868869,34.443629,-119.668151,0101000020E61000008A7269FCC2EA5DC05247C7D5C8384140
929978,1520,1671717,Entire home/apt,,Santa Barbara,,Mesa,46,5.0,4,2.0,,399.0,,Beach Bungalow on the Mesa,2017-07-23 09:57:40.866357,34.402963,-119.703975,0101000020E6100000E78C28ED0DED5DC0C03FA54A94334140
16100224,1520,104952719,Entire home/apt,,Santa Barbara,,Mesa,21,5.0,5,2.0,,389.0,,Local Santa Barbara Retreat!,2017-07-23 09:57:40.861356,34.398701,-119.712073,0101000020E610000056D7A19A92ED5DC0F6F065A208334140
2447024,1520,2567053,Entire home/apt,,Santa Barbara,,Las Positas,68,5.0,6,2.0,,350.0,,"Nature Playland |Dogs, Kids, and Tarzans! Zipline!",2017-07-23 09:57:40.841694,34.420805,-119.742108,0101000020E610000066868DB27EEF5DC0247F30F0DC354140
17037723,1520,111980579,Entire home/apt,,Santa Barbara,,Downtown,0,0.0,6,3.0,,360.0,,3BR/2BA Classic Californian House,2017-07-23 09:57:40.839452,34.433143,-119.717636,0101000020E6100000AA9B8BBFEDED5DC0E4BED53A71374140
